Description,Title,URL,Compensation,Address,Employment Type
"
        
The Renovated Home, a boutique interior design/build firm specializing in high end residential design AND build, is seeking a talented junior to intermediate architectural designer with exceptional design and communication skills for a full time design position with our team.

We are looking for an experienced 2-4 years high-end architectural designer with prior experience in detail construction drawings, extensive material knowledge, M.E.P, lighting, A/V and direct coordination with the build team on our projects. 

Candidate must be a team player, energetic, motivated, highly organized and a positive attitude.

Requirements:
• Proficient in AutoCAD, Microsoft Office and Indesign
• Strong verbal and written communication skills
• All Applicants Must Be Qualified for U.S. Employment
• Must be able to start soon
• Rendering and sketching skills are a plus
• Interior construction detailing is a must

Please send your resume along with your portfolio via email.    ",Junior Interior Design - with autocad for interior design/build,https://newyork.craigslist.org/mnh/egr/d/junior-interior-design-with/6331057965.html,DOE,Upper East Side,full-time
"
        
Interior Designer in Greenwich seeking freelance SketchUp proficient assistant.  
Can work from interior design office in Greenwich or from home.  Must be local.
    ",SketchUp freelance work for Interior Designer,https://newyork.craigslist.org/fct/egr/d/sketchup-freelance-work-for/6330094249.html,$15 per hour,"Greenwich, CT",contract
"
        
EXPEDITING COMPANY SEEKING CLASS 2 FILING REP TO:


1. ADMINISTER PLAN EXAMINATIONS, JOB APPROVALS, AND ISSUANCE OF LETTERS OF COMPLETION, CERTIFICATES OF OCCUPANCY IN ALL 5 BOROUGHS.
2. ADMINISTER ISSUANCE OF PERMITS AND RESOLVING STOP WORK ORDERS, VACATE ORDERS.
3. ADMINISTER JOB SIGN-OFF AND TECHNICAL REPORT FILINGS.
4. PREPARE AND SUBMIT CERTIFICATES OF CORRECTION; AND HANDLING SPECIAL REQUESTS.
5. SCHEDULE INSPECTIONS AND TESTING.
6. ATTEND ECB HEARINGS.

THIS IS A REWARDING EMPLOYMENT WITH PLENTY OF WORK

EMAIL RESUME FOR CONSIDERATION    ",CLASS 2 FILING REPRESENTATIVE WANTED DOB FDNY HPD ECB DOT DEP LPC NYC,https://newyork.craigslist.org/mnh/egr/d/class-2-filing-representative/6330147470.html,NEGOTIABLE,New York,contract
"
        
Construction Bilingual (Chinese/English) Firm in Brooklyn, NY currently has a position of an architectural designer/AUTO CAD drafters major in Architecture. We're pioneer in designing and planning for exterior work such as Canopy,Storefront,Windows,Curtain walls and more.. and we are looking for someone with good CAD drafting and Designing ability. 

Must be Experience. 
Full Time job

Responsibilities:
* Zoning computation, design, development of construction drawings and detailing
* Knowledge of computer AUTO CAD, Word, Excel, and Photoshop preferred.
* Retrieve information from computer files and displays information on screen, verify accuracy and completeness of drawings.
* Contact clients building departments and manufacturers whenever required.
Requirements:
* Residential design and detailing
* Must be Chinese/English Bilingual
    ",LOOKING FOR AUTOCAD DRAFTER ( EXTERIOR DETAIL WORK),https://newyork.craigslist.org/brk/egr/d/looking-for-autocad-drafter/6330354902.html,TBD,BROOKLYN,full-time
"
        
Established Architectural Design firm has an excellent opportunity and is seeking Associate Architects to perform all phases of architectural design services, primarily projects out of the ground. Services will include planning and zoning studies, designing, producing construction documents, and architectural construction administration. Individual must be capable of handling a project 100% on his/her own, in addition to managing a team of four.

Qualifications:
- Highly experienced in mixed-use projects; ideal candidate with seven to ten years experience
- Detail oriented in Construction Documents
- Extensive knowledge of New York City resolution and Building Codes
- Highly capable of managing a project from beginning to end, while managing and ensuring an organized team effort
- Excellent drawing skills and familiarity with design software (Revit and Sketch-Up is a big plus++)
- Strong organizational, communication, and project management skills 

Firm provides health benefits, vacation, PTO, profit-sharing and 401(k) 

We look forward to your resume.    ",Architectural Design Firm Seeking Experienced Associate Architect,https://newyork.craigslist.org/mnh/egr/d/architectural-design-firm/6329793355.html,TBD,Midtown West,full-time
"
        
Full service architectural design practice with emphasis on design and holistic process management. Our projects reflect the perfect balance of creative thought and client support services. We approach the design process with sensitivity to potential logistical, programmatic, and physical challenges, and a thoughtful eye to the ultimate effects of design on the built environment. Our small, close-knit firm is very hands-on, leverages the specific strengths of each team member, and offers excellent growth potential for the right candidate. 

We stand out in our approach to navigating clients through the abstract aspects of creating appropriate, high-quality, functional design solutions that convey unique impressions in sync with the client's objectives. Our dedicated and talented team views the design process as a collaborative dialogue of identifying shared goals related to producing artful, sensible, and value-conscious structures and interior spaces.

Seeking a Senior Project Architect to coordinate team efforts to create project designs that satisfy each client's specific needs, regulate on-site and in-house progress, abide by established financial budgets and deadlines, and guide projects to completion. Candidate must be a proactive and self-motivated team player interested in ongoing personal and professional growth and experiential learning. S/he must have a passion for design and production excellence, and be licensed or in the process of obtaining NY state licensure. 

Compensation is commensurate with experience. 

Requirements:
•	Minimum 6+ years' experience; proven ability to contribute to all phases of design. 
•	Base building and core and shell experience.
•	Professional degree in Architecture from an accredited architecture program or equivalent.
•	Strong proficiency in Revit is required (must have completed projects in Revit).
•	Construction Administration experience and excellent knowledge of construction materials and method.
•	Strong working knowledge of NYC code and zoning regulations.
•	Design-oriented, with strong technical proficiency and creative skills.
•	Extensive construction document production and detailing experience.
•	As-built documentation and working drawings experience.
•	Ability to take direction from and work collaboratively with internal and external colleagues and firm Principal.
•	Above average communication skills in the domains of leadership, customer service, and client presentation abilities.
•	Proven ability to effectively coach and mentor others is a plus.

Specific responsibilities include, but are not limited to, the following:
•	Constantly communicate ideas and updates to firm Principal and clients, to ensure that strategic direction is maintained, potential problems identified, and time wisely managed.
•	Work closely with Project Team to develop construction details that comply with the overall design intent and project budget.
•	Prepare complete and concise design and construction drawings after checking and coordinating details, dimensions, and specifications.
•	Mentor junior staff, taking time to identify strengths and weaknesses, share advice, and provide direction. 
•	Manage multiple assignments and meet challenging deadlines while producing high-quality outputs.
•	Research and advise on codes, regulations, building systems, assemblies, components, and materials.
•	Direct team members in the application of architectural standards and guidelines.
•	Check submittals and respond to requests for information.
    ",Senior Project Architect / Coordinator,https://newyork.craigslist.org/mnh/egr/d/senior-project-architect/6329666829.html,Commensurate with Experience,Midtown West,full-time
"
        
We are seeking a smart, focused, and agile junior designer to join our architecture studio. We are a small team of an architect and Interior Designer, that focuses on multiple scales of both architecture and interior design. You will be responsible for layouts, rhino models, CAD drawings, and coordinating with GC on-site. We are searching for someone that can help contribute fresh ideas to our projects, and potentially transition into a full-time position (if you're open to that). 

You must:
Have 1-3 Years experience working in an office (internships ok).
Proficient knowledge of Rhino, CAD, and all Adobe suite (PS, Ai, In).
Practice and understand LINE WEIGHTS.
Experience and ability to craft a well written email.
Comfortable with making phone calls to venders or contractors during procurement or CA.
Be punctual. 

If interested, please send us an email with your resume and portfolio ASAP- we'd like to have someone start by the end of the week- into early next week. 

We are also looking for a full-time or Part-time Interior Design Internship- Work closely with an Interior Designer with project furniture budgets ranging from 20K-100K. Please apply for this with ""Interior Design Internship"" in the subject line. 

Thank you!
    ",Sm. creative Architecture firm looking for part-time Jr Position,https://newyork.craigslist.org/brk/egr/d/sm-creative-architecture-firm/6329670721.html,To commensurate with experience,Williamsburg,part-time
"
        
PLEASE READ BEFORE APPLYING.

We spend more time at work than we do anywhere else. Our company is a place for designers who want to enjoy coming into work, who look forward to seeing their team every morning. We are dedicated team of professionals is the interior design and build world who appreciate one another and have built a culture of complete transparency and openness. Everyone is the company has a say no matter the position or how long they have been working at the company.

We are looking for a designer that is looking to grow with our company and wants a place they can call home. 

We enjoy what we do and whom we work with, we believe it is important to love your job, coworkers, and work environment. We strive to have a fun atmosphere with true professionals. You will be part of creating beautiful designs, product research, product purchasing, construction documents and ensure customer satisfaction. 

We are a service oriented company dedicated to meticulous quality. We are happy to help you grow professional and build valuable skills and experience. Our office is a fast-paced environment that is fun and friendly with a diverse team.  to Succeed with a Positive Outlook on every challenge they take on, even in their personal life. We believe that the character of each employee represents the company. Looking for someone who can anticipate problems or challenges and is proactive and solution focused.


Positions available are for 

1. Sr. Designer 
2. Jr. Designer

MUST BE: 

- Positive attitude- can't stress this enough! 
- Passionate 
- Extremely Organized 
- Highly Motivated 
- Punctual 

REQUIREMENTS: 

- Able to handle multiple projects from conception to completion. 

- Team player who also works well independently. 

- Solid auto cad construction document skills. 

- Effective communication Skills- not afraid to ask questions. Every question is valuable. 

- Self-Manageable Interest in residential interior design.

- Interior Designer capable of tremendous client services.    ",Interior Designer Needed for Young + Growing Co.,https://newyork.craigslist.org/mnh/egr/d/interior-designer-needed-for/6329519428.html,Salary + Commission + Bonus,Financial District,full-time
"
        
Small architectural design firm is looking for an energetic and dedicated team member with strong organizing skill. Projects included ground-up commercial/residential projects and interior renovation.

Responsibilities:

Manage projects, with project manager, from start to finish including design scope, city approvals process, bidding, construction documents and construction administration.
Act as point person for clients, contractors, consultants, vendors and in-house team communication.
Work with principal with aspects of Architecture and building from schematic to detailing.
Research & source architectural products and samples. Prepare finish material sample board for client's approval.
Work with contractor to resolve issues encountered in construction process.
Qualification:

B. Arch or Bachelor in Interior Design.
0-3 years of professional experience
Ability to effectively communicate with all members of the project team, both verbally and in writing.
Experience with Revit is required.
Excellent time management and client presentation skills are a must. Ability to organize project documents and correspondence.    ",Entry Level Architect,https://newyork.craigslist.org/que/egr/d/entry-level-architect/6329596504.html,"US$35,000.00 ~ US$45,000.00 Annually.",College Point,full-time
"
        
Interior Designer

Internship, Part Time
Just Salad Restaurants

We are looking for a talented designer to join our construction and development team. The applicant will learn about retail construction and become familiar with the store construction process. 

The job's focus will be on creating new store designs. 

The applicant should be highly creative and willing to think outside the box to introduce interesting material and design elements to our well established brand look.  

AutoCad proficiency required.

Salary/Wage
Negotiable

Hours per week
16-40





    ",Interior Designer Internship,https://newyork.craigslist.org/mnh/egr/d/interior-designer-internship/6329963569.html,Negotiable,Midtown East,part-time
